episode,step,score,best_as,best_step,best_bcrs,best_mcrs,best_crs,best_score
1,3,-23.996398341524202,-inf,0,-inf,-inf,-inf,0.0
2,16,23.052815421913007,-24.04691464218674,16,42.3473272699496,4.752402794150135,47.09973006409974,23.052815421913007
3,25,23.65835694050991,-22.5,24,41.496317280453255,4.6620396600566565,46.15835694050991,23.65835694050991
4,44,21.433460658921376,-25.793794678813242,43,42.51542101675524,4.711834320979374,47.22725533773462,21.433460658921376
5,66,23.512496251579353,-23.29187993877818,65,42.15820055296376,4.646175637393769,46.80437619035753,23.512496251579353
6,78,28.94254146367446,-21.23465929584281,78,45.11467919380212,5.062521565715154,50.17720075951727,28.94254146367446
7,111,0.8760572749704245,-9.539965198743161,104,21.57422180981147,2.1316794273190425,23.70590123713051,14.165936038387349
8,125,5.337909751203367,-2.959137065630027,113,20.936543909348444,2.0920679886685556,23.028611898017,20.069474832386973
9,134,-23.996398341524202,-inf,0,-inf,-inf,-inf,0.0
10,146,-31.517428173519754,-inf,0,-inf,-inf,-inf,0.0
11,165,23.052815421913007,-22.5,163,41.496317280453255,4.6620396600566565,46.15835694050991,23.65835694050991
12,181,5.248552719274638,-18.36301742436949,180,21.469637214046987,2.1419329295971403,23.611570143644126,5.248552719274638
13,194,5.337909751203366,-18.878308932517115,193,22.1413351188405,2.0748835648799795,24.21621868372048,5.337909751203366
14,207,-4.225776150077253,-7.628308932517117,196,21.38506628643209,2.1397931219531943,23.524859408385282,15.896550475868167
15,218,-23.996398341524202,-inf,0,-inf,-inf,-inf,0.0
16,230,21.433460658921376,-25.79379467881324,229,42.51542101675524,4.711834320979374,47.22725533773462,21.433460658921376
17,240,-18.308537817526915,-inf,0,-inf,-inf,-inf,0.0
18,252,-18.308537817526915,-inf,0,-inf,-inf,-inf,0.0
19,258,23.512496251579357,-23.29187993877818,257,42.15820055296376,4.646175637393769,46.80437619035753,23.512496251579357
20,269,-23.23398911045571,-inf,0,-inf,-inf,-inf,0.0
21,283,3.850558792144785,-9.539965198743161,281,21.57422180981147,2.1316794273190425,23.70590123713051,14.165936038387349
22,296,28.498094198950902,-16.711051805665207,292,43.231321440538956,5.008758702373234,48.24008014291219,31.529028337246984
23,308,5.356908324082551,-4.258255761604428,304,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
24,317,4.647442705096136,-4.258255761604428,314,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
