step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
0,70.6,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,70.0,1.0235082793290562,1.0,-7.61352406885922,0.0,-7.6283089325171165,0,0.020733872156480437,-0.005949008498583519,0.0,-7.6283089325171165,0.020733872156480437,-0.005949008498583519
2,67.2,1.1138015606587466,1.0,-16.38287427266498,0.0,-16.41860570966962,0,0.06349347666469374,-0.027762039660056602,0.0,-24.046914642186735,0.08422734882117418,-0.03371104815864012
3,67.2,1.1138015606587466,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-24.046914642186735,0.08422734882117418,-0.03371104815864012
4,70.6,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,69.3,1.0259092345804244,1.0229050735198753,-13.505706164002149,0.0,-13.51838093815855,0,0.009825976472985463,0.0028487976834157044,0.0,-13.51838093815855,0.009825976472985463,0.0028487976834157044
6,69.3,1.0259092345804244,1.0229050735198753,0.0,0.0,0.0,0,0.0,0.0,0.0,-13.51838093815855,0.009825976472985463,0.0028487976834157044
7,70.0,16.41454775328679,4.091620294079501,29.402256639870316,0.0,5.890072005641433,0,21.375240309959104,2.1369443242697788,0.0,-7.628308932517117,21.38506628643209,2.1397931219531943
8,70.0,16.41454775328679,4.091620294079501,0.0,0.0,0.0,0,0.0,0.0,0.0,-7.628308932517117,21.38506628643209,2.1397931219531943
9,70.0,16.41454775328679,4.091620294079501,0.0,0.0,0.0,0,0.0,0.0,0.0,-7.628308932517117,21.38506628643209,2.1397931219531943
10,70.0,16.41454775328679,4.091620294079501,0.0,0.0,0.0,0,0.0,0.0,0.0,-7.628308932517117,21.38506628643209,2.1397931219531943
11,70.0,16.41454775328679,4.091620294079501,0.0,0.0,0.0,0,0.0,0.0,0.0,-7.628308932517117,21.38506628643209,2.1397931219531943
12,70.0,16.41454775328679,4.091620294079501,0.0,0.0,0.0,0,0.0,0.0,0.0,-7.628308932517117,21.38506628643209,2.1397931219531943
13,70.0,16.41454775328679,4.091620294079501,0.0,0.0,0.0,0,0.0,0.0,0.0,-7.628308932517117,21.38506628643209,2.1397931219531943
14,70.0,16.41454775328679,4.091620294079501,0.0,0.0,0.0,0,0.0,0.0,0.0,-7.628308932517117,21.38506628643209,2.1397931219531943
15,66.2,32.82909550657358,8.183240588159002,3.1002474161358298,0.0,-19.74248439933905,0,20.311259089619462,2.5314727258554197,0.0,-27.37079333185617,41.69632537605155,4.671265847808614
16,67.2,32.82909550657358,8.183240588159002,4.056017529909011,0.0,3.323878689669433,0,0.6510018938980578,0.0811369463415204,0.0,-24.04691464218674,42.3473272699496,4.752402794150135
17,70.6,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,70.6,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,70.6,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,70.6,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,70.6,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,70.4,16.0,4.0,20.069474832386973,0.0,-2.959137065630027,0,20.936543909348444,2.0920679886685556,0.0,-2.959137065630027,20.936543909348444,2.0920679886685556
23,70.4,16.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-2.959137065630027,20.936543909348444,2.0920679886685556
24,67.6,32.0,8.0,3.58888210812294,0.0,-19.540862934369972,0,20.55977337110481,2.5699716713881013,0.0,-22.5,41.496317280453255,4.6620396600566565
