step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
0,55.4,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,55.4,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,52.65,1.025777708609513,1.022351805767775,-21.507594097650372,0.0,-21.452519200595834,0,-0.0351972039421083,-0.019877693112430626,0.0,-21.452519200595834,-0.0351972039421083,-0.019877693112430626
3,52.05,1.0477224295161334,1.022351805767775,-2.40334321583667,0.0,-2.4089040602195393,0,0.013311525942841728,-0.007750681559972327,0.0,-23.86142326081537,-0.02188567799926657,-0.027628374672402953
4,52.05,1.0477224295161334,1.022351805767775,0.0,0.0,0.0,0,0.0,0.0,0.0,-23.86142326081537,-0.02188567799926657,-0.027628374672402953
5,55.4,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,55.4,0.9983361064891847,1.0,-0.0023294509151414286,0.0,0.0,0,-0.0023294509151414286,0.0,0.0,0.0,-0.0023294509151414286,0.0
7,54.95,16.392605637109718,4.0,17.412224425430352,0.0,-6.030595127702312,0,21.365563235443133,2.077256317689531,0.0,-6.030595127702312,21.363233784527992,2.077256317689531
8,54.95,16.392605637109718,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-6.030595127702312,21.363233784527992,2.077256317689531
9,54.95,16.392605637109718,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-6.030595127702312,21.363233784527992,2.077256317689531
10,54.95,16.392605637109718,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-6.030595127702312,21.363233784527992,2.077256317689531
11,49.0,32.61234570920896,8.0,-6.658689366897156,0.0,-26.454064168140544,0,17.619562526875157,2.175812274368231,0.0,-32.48465929584285,38.98279631140315,4.253068592057762
12,49.0,32.61234570920896,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-32.48465929584285,38.98279631140315,4.253068592057762
13,55.4,34.045342012058434,8.0,40.412273209263745,0.0,32.48465929584285,0,7.280682505478656,0.6469314079422381,0.0,0.0,46.26347881688181,4.9
14,55.4,34.045342012058434,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46.26347881688181,4.9
15,55.1,35.08534693377823,8.0,-3.098563775748812,0.0,-4.258255761604424,0,1.1900168956029047,-0.030324909747292225,0.0,-4.258255761604424,47.45349571248471,4.869675090252708
16,55.1,35.08534693377823,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-4.258255761604424,47.45349571248471,4.869675090252708
17,55.1,35.08534693377823,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-4.258255761604424,47.45349571248471,4.869675090252708
18,55.1,35.08534693377823,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-4.258255761604424,47.45349571248471,4.869675090252708
19,55.1,35.08534693377823,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-4.258255761604424,47.45349571248471,4.869675090252708
20,55.1,35.08534693377823,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-4.258255761604424,47.45349571248471,4.869675090252708
21,55.1,35.08534693377823,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-4.258255761604424,47.45349571248471,4.869675090252708
22,55.1,35.08534693377823,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-4.258255761604424,47.45349571248471,4.869675090252708
23,55.1,35.08534693377823,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-4.258255761604424,47.45349571248471,4.869675090252708
24,53.5,35.58835185392128,8.1788144461422,-13.801752860771641,0.0,-13.022339366097926,0,-0.7385579172012497,-0.04085557747246584,0.0,-17.280595127702348,46.71493779528346,4.8288195127802425
25,53.5,35.58835185392128,8.1788144461422,0.0,0.0,0.0,0,0.0,0.0,0.0,-17.280595127702348,46.71493779528346,4.8288195127802425
26,53.5,35.58835185392128,8.1788144461422,0.0,0.0,0.0,0,0.0,0.0,0.0,-17.280595127702348,46.71493779528346,4.8288195127802425
27,53.5,35.58835185392128,8.1788144461422,0.0,0.0,0.0,0,0.0,0.0,0.0,-17.280595127702348,46.71493779528346,4.8288195127802425
28,53.5,35.58835185392128,8.1788144461422,0.0,0.0,0.0,0,0.0,0.0,0.0,-17.280595127702348,46.71493779528346,4.8288195127802425
29,53.15,36.018108064028965,8.1788144461422,-1.6230690723887813,0.0,-1.8493517013849357,0,0.2624524762760259,-0.036169847279871534,0.0,-19.129946829087284,46.977390271559486,4.792649665500371
30,53.15,36.018108064028965,8.1788144461422,0.0,0.0,0.0,0,0.0,0.0,0.0,-19.129946829087284,46.977390271559486,4.792649665500371
31,53.15,36.018108064028965,8.1788144461422,0.0,0.0,0.0,0,0.0,0.0,0.0,-19.129946829087284,46.977390271559486,4.792649665500371
32,55.5,16.0,4.0,23.572996064935147,0.0,0.42750870031420946,0,21.04043321299639,2.1050541516245485,0.0,0.42750870031420946,21.04043321299639,2.1050541516245485
33,55.5,16.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.42750870031420946,21.04043321299639,2.1050541516245485
34,55.5,16.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.42750870031420946,21.04043321299639,2.1050541516245485
35,52.4,16.412443337752208,4.0894072230711,-23.732268624506453,0.0,-22.927508700314213,0,-0.7072771975180145,-0.09748272667422486,0.0,-22.500000000000004,20.333156015478377,2.0075714249503234
