episode,step,score,best_score
1,32,28.27978858557089,105.07702616693912
2,61,22.83920912696651,30.415408454306494
3,85,12.736562727768984,96.01679685700586
4,111,31.887040757785396,112.81015317553609
5,152,29.609399774801233,94.0351903631235
6,179,20.92130846879732,36.91843960178949
7,187,-30.721985063926677,17.151201400401465
8,219,66.45195455966339,110.2108905922669
9,249,33.974146427272665,95.36840871743905
10,261,20.92130846879732,62.019176973224624
11,283,65.16517461552104,99.81757279879301
12,326,75.93823896795973,123.8999291917717
13,366,84.4872294467664,86.57540496495481
14,383,39.724542618502156,92.91015702216393
15,388,-30.721985063926677,17.151201400401465
16,414,63.1314890190191,108.56114676027507
17,435,13.298579269922087,102.98993433780652
18,470,75.00333629148312,75.00333629148312
19,483,13.814833927449072,91.81985848935534
20,509,42.2913248888984,89.57928168153157
21,524,34.42060814635835,65.29850673302533
22,543,28.567366539708843,65.29850673302533
23,548,-30.721985063926674,37.64514473294842
24,564,5.671137273189633,35.26481310126586
25,596,51.33430262129747,80.22806367860724
26,631,78.04363852874923,84.691843597785
27,662,52.46823379091248,89.67003834598808
28,710,84.64523430602884,86.26862464707887
29,734,49.74096736665794,49.74096736665794
30,766,81.7589437409708,106.33354180706857
31,796,69.89562638566875,104.12213731791343
32,810,19.389823428642593,81.42990920287257
33,826,36.17102278509944,92.90850369430802
34,850,31.888099024884088,89.6700383459881
35,886,86.69213859071415,119.67660400160541
36,919,16.32965825710282,40.621094177200185
37,937,21.48318612793841,92.90850369430801
38,971,-95.83512565567273,92.12171309535718
39,982,18.42328811831173,81.42990920287257
40,1011,52.46823379091251,89.6700383459881
41,1045,81.7589437409708,106.33354180706857
42,1062,27.676046629237867,91.82832940218137
43,1095,90.07446883666802,126.97932862471077
44,1106,32.389465539894395,93.27269832772964
45,1118,20.093810401365914,81.42990920287255
46,1133,20.66081072685536,81.42990920287255
47,1149,30.643800148859896,92.57915424899282
48,1173,44.07416978539143,108.39951031723128
49,1201,52.46823379091248,89.67003834598808
50,1233,81.26903480951553,122.97089329251905
51,1242,23.86314032677263,84.67085138889676
52,1257,20.66081072685536,81.42990920287255
53,1263,20.92130846879732,62.019176973224624
54,1286,57.5498545452657,89.67003834598808
55,1297,20.437299507097933,88.39848232126045
