step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
0,68.8,28.63157894736842,4.0,29.61422130500651,0.0,-10.922103611330572,0,38.45250988743535,2.083815028901734,0.0,38.45250988743535,38.45250988743535,2.083815028901734
1,67.9,34.77391966252934,4.0,-8.234670997508019,0.0,-16.114658264986527,0,7.9164034524496065,-0.03641618497109813,0.0,46.368913339884955,46.368913339884955,2.047398843930636
2,68.1,36.34070479590419,4.0,5.2604296305736025,0.0,2.9530019987605134,0,2.2993351462639566,0.00809248554913271,0.0,48.66824848614891,48.66824848614891,2.0554913294797688
3,68.1,36.34070479590419,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,48.66824848614891,48.66824848614891,2.0554913294797688
4,13.35,112.15782585353342,8.0,-128.52178545993723,0.0,-107.07073011255333,0,-19.775910838713372,-1.6751445086705201,0.0,28.89233764743554,28.89233764743554,0.38034682080924864
5,66.3,69.38485226638477,8.0,154.03690344580926,0.0,86.97632220067496,0,62.77561014686842,4.284971098265895,0.0,91.66794779430396,91.66794779430396,4.665317919075143
6,66.3,69.38485226638477,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,91.66794779430396,91.66794779430396,4.665317919075143
7,66.3,69.38485226638477,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,91.66794779430396,91.66794779430396,4.665317919075143
8,66.3,69.38485226638477,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,91.66794779430396,91.66794779430396,4.665317919075143
9,52.6,66.10917215927006,8.19804484438887,-72.63604499763784,0.0,-48.915661494938576,0,-22.717088866433343,-1.0032946362659214,0.0,68.95085892787061,68.95085892787061,3.662023282809222
10,52.6,66.10917215927006,8.19804484438887,0.0,0.0,0.0,0,0.0,0.0,0.0,68.95085892787061,68.95085892787061,3.662023282809222
11,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,56.2,1.824338707220518,1.0247767902711025,-85.1086405380103,0.0,-85.66548574629608,0,0.6742625647992825,-0.11741735651350911,0.0,0.6742625647992825,0.6742625647992825,-0.11741735651350911
23,56.2,1.824338707220518,1.0247767902711025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6742625647992825,0.6742625647992825,-0.11741735651350911
24,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,56.2,1.824338707220518,1.0247767902711025,-85.1086405380103,0.0,-85.66548574629608,0,0.6742625647992825,-0.11741735651350911,0.0,0.6742625647992825,0.6742625647992825,-0.11741735651350911
32,56.2,1.824338707220518,1.0247767902711025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6742625647992825,0.6742625647992825,-0.11741735651350911
33,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,56.2,1.824338707220518,1.0247767902711025,-85.1086405380103,0.0,-85.66548574629608,0,0.6742625647992825,-0.11741735651350911,0.0,0.6742625647992825,0.6742625647992825,-0.11741735651350911
35,56.2,1.824338707220518,1.0247767902711025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6742625647992825,0.6742625647992825,-0.11741735651350911
36,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,68.8,28.63157894736842,4.0,29.61422130500651,0.0,-10.922103611330572,0,38.45250988743535,2.083815028901734,0.0,38.45250988743535,38.45250988743535,2.083815028901734
40,68.8,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.45250988743535,38.45250988743535,2.083815028901734
41,68.8,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.45250988743535,38.45250988743535,2.083815028901734
42,68.8,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.45250988743535,38.45250988743535,2.083815028901734
43,68.8,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.45250988743535,38.45250988743535,2.083815028901734
