step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
0,71.25,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,71.25,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,71.05,16.0,4.0,19.083747070387776,0.0,-3.945516087506959,0,20.93712280701754,2.0921403508771927,0.0,20.93712280701754,20.93712280701754,2.0921403508771927
3,71.05,16.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.93712280701754,20.93712280701754,2.0921403508771927
4,71.05,16.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.93712280701754,20.93712280701754,2.0921403508771927
5,71.05,16.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.93712280701754,20.93712280701754,2.0921403508771927
6,71.05,16.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.93712280701754,20.93712280701754,2.0921403508771927
7,71.05,16.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.93712280701754,20.93712280701754,2.0921403508771927
8,71.05,16.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.93712280701754,20.93712280701754,2.0921403508771927
9,70.85,16.85564196137703,4.0,-2.2154494618153513,0.0,-3.3358863200467557,0,1.1282965073542115,-0.007859649122807165,0.0,22.065419314371752,22.065419314371752,2.0842807017543854
10,70.85,16.85564196137703,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,22.065419314371752,22.065419314371752,2.0842807017543854
11,70.85,16.85564196137703,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,22.065419314371752,22.065419314371752,2.0842807017543854
12,66.6,16.99501047164534,4.100663566217034,-31.518724315058257,0.0,-30.19236060536369,0,-1.2252119266354544,-0.10115178305911376,0.0,20.8402073877363,20.8402073877363,1.9831289186952716
13,66.6,16.99501047164534,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.8402073877363,20.8402073877363,1.9831289186952716
14,66.6,16.99501047164534,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.8402073877363,20.8402073877363,1.9831289186952716
15,46.8,37.38327759148114,8.201327132434068,-19.345720618849555,0.0,-32.570143254907585,0,12.136667669019408,1.0877549670386235,0.0,32.97687505675571,32.97687505675571,3.0708838857338954
16,46.8,37.38327759148114,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,32.97687505675571,32.97687505675571,3.0708838857338954
17,69.55,33.5347782745218,8.201327132434068,61.83421898156557,0.0,48.54951515868338,0,11.451635267317101,1.8330685555650887,0.0,44.42851032407281,44.42851032407281,4.903952441298984
18,69.55,33.5347782745218,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,44.42851032407281,44.42851032407281,4.903952441298984
19,69.55,33.5347782745218,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,44.42851032407281,44.42851032407281,4.903952441298984
20,69.55,33.5347782745218,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,44.42851032407281,44.42851032407281,4.903952441298984
